project_id,snapshot_month,dataset_split,sector_name,ministry_name,agency_name,state_name,time_elapsed_pct,cost_escalation_pct,expenditure_pct,physical_progress_pct,physical_financial_gap,progress_deviation,progress_velocity,schedule_slippage_months,overall_risk_score,active_warnings_count,target_cost_overrun_binary
400035,2025-07,train,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],Tripura,94.87,0.0,71.0,84.0,13.0,-10.87,,0.0,7.9,0,0.0
400035,2025-08,train,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],Tripura,79.17,0.0,72.88,86.0,13.12,6.83,2.0,0.0,3.11,0,0.0
400035,2025-09,train,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],Tripura,81.25,0.0,73.77,88.0,14.23,6.75,2.0,0.0,3.01,0,0.0
400035,2025-10,train,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],Tripura,102.56,0.0,77.73,89.0,11.27,-11.0,1.0,9.0,16.63,2,0.0
400035,2025-11,train,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],Tripura,105.13,0.0,79.12,90.0,10.88,-10.0,1.0,9.0,16.05,2,0.0
400035,2025-12,train,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],Tripura,107.69,0.0,80.31,92.0,11.69,-8.0,2.0,9.0,15.07,2,0.0
400035,2026-01,train,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],Tripura,110.26,0.0,76.3,94.0,17.7,-6.0,2.0,9.0,14.69,2,0.0
400035,2026-02,val,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],Tripura,112.82,0.0,77.6,96.0,18.4,-4.0,2.0,9.0,13.7,2,0.0
400035,2026-03,val,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],Tripura,115.38,0.0,81.89,96.6,14.71,-3.4,0.6,9.0,12.96,2,0.0
400035,2026-04,val,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],Tripura,117.95,0.0,81.89,97.0,15.11,-3.0,0.4,9.0,12.79,2,0.0
400035,2026-05,test,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],Tripura,120.51,0.0,82.59,97.7,15.11,-2.3,0.7,9.0,12.41,2,0.0
